NanoHarp 250 Histogram Data			02/04/2021 11:41:20 AM
#channels per curve
1075
#display curve no.
0	1	2	3	
#memory block no.
0	1	2	3	
#ns/channel
1024.0000	1024.0000	1024.0000	1024.0000	
#counts
1641	1603	1722	2290	
1618	1557	1699	2226	
1682	1552	1708	2233	
1607	1575	1696	2244	
1560	1540	1651	2235	
1591	1547	1638	2204	
1686	1505	1635	2167	
1633	1546	1632	2208	
1609	1440	1637	2138	
1568	1360	1591	2167	
1556	1475	1628	2171	
1606	1412	1644	2133	
1532	1444	1567	2188	
1465	1385	1577	2098	
1532	1391	1593	2128	
1531	1419	1509	2070	
1529	1443	1481	2073	
1527	1410	1519	2057	
1502	1401	1557	2044	
1560	1355	1537	2028	
1469	1308	1518	1996	
1561	1368	1444	2044	
1408	1358	1468	2032	
1446	1328	1496	1976	
1502	1382	1501	1998	
1458	1314	1483	2022	
1486	1337	1465	1986	
1496	1258	1435	1943	
1437	1356	1441	1956	
1435	1260	1462	1942	
1448	1310	1462	1909	
1440	1293	1409	1895	
1452	1312	1428	1848	
1366	1242	1435	1876	
1375	1281	1380	1842	
1421	1317	1391	1846	
1443	1206	1391	1844	
1286	1179	1420	1836	
1362	1275	1369	1810	
1350	1197	1328	1822	
1309	1151	1363	1773	
1370	1261	1277	1795	
1350	1134	1313	1746	
1313	1163	1344	1760	
1324	1149	1295	1681	
1294	1152	1282	1772	
1324	1170	1275	1731	
1329	1223	1287	1678	
1225	1142	1293	1701	
1295	1115	1258	1700	
1301	1146	1232	1661	
1302	1124	1273	1765	
1302	1174	1228	1658	
1255	1144	1237	1697	
1261	1127	1259	1640	
1257	1105	1230	1641	
1299	1090	1174	1600	
1263	1055	1221	1640	
1249	1080	1202	1597	
1287	1086	1140	1645	
1216	1099	1224	1599	
1254	1037	1160	1630	
1226	1063	1199	1597	
1217	1063	1231	1560	
1173	1018	1173	1510	
1120	1015	1162	1558	
1194	1030	1192	1521	
1156	1064	1108	1517	
1200	981	1146	1537	
1161	976	1185	1493	
1159	1022	1160	1450	
1172	987	1140	1481	
1177	985	1138	1457	
1130	1045	1055	1435	
1201	988	1124	1467	
1122	1011	1137	1463	
1198	922	1097	1394	
1192	901	1092	1381	
1114	904	1099	1409	
1138	974	1065	1412	
1149	954	1118	1414	
1146	964	1031	1375	
1083	914	995	1385	
1056	899	1042	1386	
1106	926	1047	1369	
1103	889	1031	1293	
1094	935	1042	1345	
1144	877	1012	1369	
1111	879	1002	1311	
1074	847	987	1317	
1071	938	999	1323	
1069	881	958	1368	
1092	905	995	1282	
1094	851	1011	1289	
1102	827	952	1281	
1043	834	973	1304	
1048	833	947	1249	
1053	891	1013	1222	
1090	857	972	1206	
1037	848	984	1272	
1053	846	975	1259	
1024	839	915	1229	
1045	796	935	1209	
1002	814	933	1216	
991	772	908	1220	
1055	811	927	1155	
982	795	909	1137	
1024	772	960	1193	
1004	824	899	1123	
946	773	898	1192	
975	795	912	1153	
969	717	941	1123	
999	742	876	1148	
939	783	880	1124	
1023	779	895	1101	
913	760	851	1150	
955	743	880	1108	
932	735	838	1112	
980	713	823	1055	
958	728	825	1057	
944	727	861	1082	
907	723	872	1101	
949	713	846	1042	
889	714	802	1074	
922	729	831	1012	
916	676	850	1024	
901	731	785	1021	
959	684	829	1011	
944	672	827	1011	
943	723	811	974	
942	686	753	988	
882	677	765	978	
858	693	768	997	
844	685	816	987	
863	646	758	981	
868	636	758	959	
839	673	765	937	
856	639	806	965	
851	646	756	945	
841	668	734	896	
883	653	775	918	
878	673	715	907	
893	646	762	946	
814	593	777	920	
863	596	708	902	
863	631	741	883	
812	624	684	894	
835	597	752	845	
824	627	718	852	
837	645	762	881	
852	640	717	849	
909	621	683	860	
865	624	697	858	
861	639	683	828	
829	577	685	866	
824	573	689	861	
799	577	695	815	
793	598	636	859	
814	587	701	799	
781	573	695	828	
793	643	668	822	
762	550	690	798	
780	587	637	840	
837	528	685	795	
780	561	669	776	
763	546	612	781	
774	558	655	832	
770	551	666	807	
772	515	604	723	
795	578	659	720	
818	540	685	747	
729	595	619	751	
732	516	602	752	
758	535	639	751	
789	529	581	743	
750	556	641	718	
735	539	590	732	
750	544	619	729	
727	499	613	733	
710	527	618	730	
706	503	601	712	
714	496	600	668	
707	504	610	671	
712	483	600	672	
718	511	564	648	
726	523	588	685	
737	525	575	681	
666	510	596	649	
697	508	541	640	
722	481	531	628	
718	503	545	644	
711	522	543	619	
717	529	573	635	
708	462	534	651	
696	486	526	642	
731	463	528	621	
734	461	489	671	
655	471	583	598	
669	484	515	613	
722	406	570	632	
667	466	555	668	
653	463	497	621	
640	451	506	608	
665	406	543	635	
686	420	513	585	
648	419	493	592	
659	423	506	576	
643	459	525	623	
632	446	560	568	
621	446	513	581	
590	406	483	575	
664	434	477	560	
646	397	504	537	
671	445	482	551	
562	441	492	576	
670	450	457	548	
596	416	517	544	
638	392	492	518	
599	425	480	545	
664	418	464	503	
633	415	481	566	
579	386	464	526	
585	409	459	515	
622	405	479	500	
600	357	476	521	
601	384	480	505	
614	400	421	511	
570	414	460	546	
618	401	453	479	
573	355	485	472	
602	375	502	507	
621	376	466	498	
600	370	481	486	
601	383	452	478	
614	403	467	459	
579	405	465	473	
538	392	458	443	
549	356	456	490	
559	369	492	442	
566	357	428	484	
