NanoHarp 250 Histogram Data			02/04/2021 12:12:20 PM
#channels per curve
1075
#display curve no.
0	1	2	
#memory block no.
0	1	2	
#ns/channel
1024.0000	1024.0000	1024.0000	
#counts
1125	1024	964	
1134	1042	925	
1117	1080	980	
1200	1041	943	
1206	1024	957	
1170	1019	890	
1112	1023	943	
1110	1011	980	
1176	1041	936	
1132	992	902	
1122	1027	932	
1057	972	920	
1101	944	896	
1131	941	900	
1091	966	878	
1086	994	924	
1030	909	887	
1096	988	891	
1039	927	876	
1010	948	902	
1043	954	872	
1038	889	853	
995	855	820	
1011	938	840	
1030	923	830	
1072	919	874	
986	908	860	
990	840	841	
998	898	803	
1011	868	858	
1006	922	803	
1034	872	778	
971	852	836	
998	887	809	
949	884	806	
995	871	805	
931	857	806	
956	844	809	
982	836	817	
969	828	712	
884	868	782	
934	800	810	
927	828	778	
915	812	729	
894	834	714	
923	833	729	
912	811	726	
897	876	769	
898	814	730	
939	772	776	
892	783	735	
865	790	738	
926	803	750	
869	770	701	
862	773	698	
923	812	692	
839	751	680	
819	740	745	
873	741	690	
810	787	695	
865	747	727	
887	702	691	
812	708	720	
823	756	721	
808	761	645	
842	779	678	
805	772	659	
830	725	689	
814	741	674	
801	767	687	
787	700	667	
764	739	652	
815	774	640	
778	701	658	
808	704	598	
781	719	651	
784	678	593	
780	708	656	
769	711	626	
760	667	635	
769	702	632	
802	630	636	
771	674	625	
730	674	585	
685	658	625	
731	663	613	
750	628	622	
652	701	608	
734	673	638	
713	679	556	
737	615	578	
710	638	605	
688	638	602	
673	631	589	
701	642	568	
649	641	605	
670	643	570	
659	576	571	
671	651	572	
682	614	560	
703	654	527	
691	631	564	
639	598	497	
634	572	571	
636	622	583	
651	572	533	
628	585	535	
649	616	513	
652	626	557	
670	587	523	
660	574	558	
640	591	553	
625	605	489	
620	578	495	
614	591	522	
628	593	484	
601	590	530	
624	624	504	
577	576	545	
613	584	501	
615	597	511	
616	543	504	
600	574	539	
571	582	500	
575	576	480	
602	521	491	
594	520	511	
583	552	477	
540	532	486	
578	533	507	
534	542	435	
576	538	468	
578	508	472	
581	528	456	
557	508	507	
556	529	489	
534	495	443	
525	585	500	
560	501	473	
547	536	432	
513	528	450	
548	477	485	
523	470	456	
512	492	446	
497	497	455	
563	546	447	
514	510	423	
503	457	411	
485	480	454	
484	455	441	
549	499	410	
538	491	431	
497	465	400	
490	497	425	
462	492	448	
504	487	407	
503	480	432	
514	499	426	
484	475	421	
458	444	452	
478	435	461	
458	444	357	
483	456	407	
464	435	382	
502	399	379	
457	473	378	
441	443	386	
468	425	388	
458	453	382	
481	458	409	
453	422	379	
460	478	410	
416	456	375	
439	429	369	
426	490	400	
448	430	400	
420	439	373	
432	416	395	
426	425	375	
418	468	397	
440	416	349	
445	431	430	
410	414	369	
416	414	359	
392	447	364	
388	356	381	
395	388	361	
426	379	366	
435	408	384	
421	397	387	
415	372	341	
366	394	365	
361	378	338	
421	385	360	
427	413	379	
363	417	310	
425	398	356	
396	428	326	
382	388	326	
369	357	343	
418	368	338	
384	399	332	
374	359	347	
388	368	325	
385	376	324	
385	333	306	
410	365	319	
353	317	304	
342	373	337	
359	364	348	
350	373	318	
365	366	322	
354	383	310	
331	377	330	
363	334	315	
340	360	320	
370	373	336	
338	376	333	
331	360	332	
336	320	331	
371	344	316	
342	362	330	
356	358	299	
336	307	343	
366	324	310	
347	330	286	
306	362	287	
334	358	302	
354	308	284	
378	310	293	
327	338	315	
329	325	304	
312	363	280	
316	342	288	
318	302	292	
339	343	289	
326	357	303	
333	324	286	
295	271	265	
327	276	318	
298	354	283	
315	343	274	
298	313	297	
311	317	286	
307	337	288	
289	315	281	
269	290	268	
304	317	269	
330	305	240	
320	326	251	
278	268	276	
274	286	299	
278	307	259	
293	311	271	
286	282	261	
265	291	272	
274	321	250	
296	311	255	
299	294	264	
294	280	270	
313	274	243	
271	308	260	
276	292	261	
279	288	249	
271	271	238	
281	288	237	
273	294	234	
270	311	251	
268	274	246	
294	310	230	
264	283	265	
256	296	233	
258	287	217	
265	274	220	
292	274	246	
260	291	225	
258	287	200	
249	263	244	
259	276	230	
293	267	234	
264	269	227	
234	277	266	
280	274	208	
204	267	219	
249	259	236	
271	242	246	
250	279	238	
243	253	231	
241	259	209	
231	258	211	
235	254	217	
258	272	212	
230	252	239	
261	276	241	
270	240	193	
240	232	218	
217	256	216	
248	281	189	
236	274	213	
235	235	194	
257	236	202	
220	273	219	
241	269	215	
260	242	198	
215	263	221	
211	218	180	
187	258	194	
228	232	220	
240	250	201	
212	214	215	
217	217	208	
247	210	195	
201	226	206	
219	242	193	
217	250	219	
225	199	210	
210	221	203	
220	255	205	
239	242	209	
195	247	187	
201	229	197	
210	236	197	
206	229	184	
201	258	183	
196	255	192	
211	239	209	
208	238	202	
206	221	215	
194	231	192	
198	211	213	
203	209	194	
195	217	188	
188	202	159	
196	215	178	
222	215	179	
196	222	211	
189	197	170	
188	213	146	
188	221	175	
188	188	203	
203	201	197	
206	199	206	
176	196	167	
194	206	174	
181	214	187	
189	183	195	
174	196	182	
187	215	164	
204	188	177	
209	201	192	
192	199	142	
200	194	172	
198	224	158	
215	210	168	
192	208	171	
184	188	185	
149	213	173	
163	186	185	
167	189	179	
174	165	156	
183	205	166	
164	224	172	
168	200	166	
172	186	170	
186	198	176	
175	189	160	
182	201	160	
148	195	154	
163	161	172	
165	184	157	
180	182	158	
155	201	162	
180	175	150	
164	202	139	
160	199	151	
169	197	154	
177	175	168	
173	170	169	
162	192	138	
158	177	155	
155	174	141	
165	165	148	
173	183	157	
175	208	141	
164	198	159	
171	169	134	
173	168	174	
161	185	155	
187	165	149	
160	162	166	
168	166	139	
162	157	135	
147	167	142	
169	155	156	
149	168	137	
166	160	135	
148	162	136	
149	168	153	
151	171	158	
128	163	164	
152	150	156	
162	151	134	
153	155	119	
169	152	145	
