NanoHarp 250 Histogram Data			02/04/2021 11:01:44 AM
#channels per curve
1075
#display curve no.
1	2	3	4	5	6	
#memory block no.
1	2	3	4	5	6	
#ns/channel
1024.0000	1024.0000	1024.0000	1024.0000	1024.0000	1024.0000	
#counts
691	655	441	621	719	789	
690	646	429	656	705	815	
713	628	433	597	690	817	
659	679	456	649	704	842	
655	640	441	670	723	789	
695	618	467	601	721	851	
670	629	465	688	735	780	
653	627	397	606	654	809	
670	618	464	661	714	799	
646	629	430	623	738	786	
648	659	392	672	641	781	
671	664	402	657	664	742	
673	667	427	576	678	779	
666	620	460	597	684	766	
684	630	403	637	683	746	
608	605	387	586	642	771	
656	611	431	612	667	745	
648	600	394	630	654	761	
629	590	418	590	652	762	
630	560	434	559	685	746	
632	588	406	596	664	753	
611	548	397	610	617	785	
668	562	392	547	672	766	
596	563	396	612	688	746	
630	590	399	623	657	762	
633	575	357	578	646	807	
639	621	381	571	654	699	
649	583	397	610	655	747	
643	575	403	586	700	712	
568	550	414	568	656	715	
608	577	377	549	652	690	
614	566	360	582	664	698	
569	600	422	615	625	669	
578	551	380	549	613	661	
593	530	385	577	618	732	
637	544	380	558	631	668	
596	525	367	560	641	639	
569	514	400	576	619	699	
591	595	384	564	635	690	
613	592	383	521	618	656	
588	539	346	594	623	677	
550	542	352	601	617	715	
579	528	394	557	560	637	
525	509	360	583	619	652	
532	497	343	555	599	646	
603	528	351	511	605	634	
594	527	349	537	566	669	
555	503	338	507	634	632	
579	529	334	524	677	645	
615	530	361	565	606	678	
548	536	351	518	564	608	
582	499	330	508	626	658	
558	503	337	509	566	623	
543	496	353	556	589	624	
529	478	358	563	586	612	
533	481	346	555	608	619	
538	516	350	537	560	599	
520	587	334	495	564	607	
561	470	314	496	617	627	
532	477	352	492	573	598	
539	479	294	480	585	588	
543	504	322	524	594	640	
511	473	379	500	551	558	
509	497	336	502	614	591	
514	530	320	500	589	622	
539	491	308	539	516	605	
507	496	282	494	537	597	
500	443	284	507	531	565	
488	506	319	504	543	566	
512	484	292	492	521	538	
501	464	303	472	549	602	
496	454	283	478	524	613	
535	456	358	474	521	560	
444	457	288	499	538	592	
515	445	336	478	542	575	
512	498	309	445	574	570	
528	443	302	491	552	557	
466	495	301	480	508	530	
493	445	322	444	546	558	
476	462	315	471	510	552	
505	453	295	470	535	557	
494	414	312	504	518	528	
500	441	319	510	497	541	
456	460	290	446	497	561	
505	456	276	464	508	533	
456	457	324	474	543	541	
449	450	302	473	501	539	
461	432	292	471	546	541	
471	440	302	451	529	513	
468	443	274	451	510	506	
457	432	292	410	520	493	
485	437	260	433	525	540	
495	454	331	457	443	577	
465	479	285	475	528	539	
435	453	288	450	498	480	
469	448	305	468	513	516	
446	411	285	469	509	527	
472	412	255	449	477	509	
499	393	271	444	469	535	
433	423	258	426	481	510	
406	436	300	452	480	511	
432	445	286	451	446	492	
451	398	290	469	497	523	
441	413	264	464	457	461	
424	393	236	426	459	472	
452	385	245	454	485	476	
426	428	275	432	444	510	
457	390	269	441	495	511	
410	437	267	480	499	509	
444	403	281	394	508	544	
427	391	253	411	462	482	
427	379	254	425	492	482	
407	398	292	406	435	499	
392	378	251	448	468	461	
410	401	245	417	481	455	
418	396	251	445	447	492	
381	392	265	435	450	428	
417	378	296	435	517	469	
415	407	262	393	449	432	
396	370	236	418	437	426	
433	404	241	401	502	440	
415	367	256	442	454	465	
415	377	240	349	483	469	
403	362	250	396	423	469	
403	358	212	373	454	463	
392	349	252	415	479	438	
434	372	231	405	468	423	
450	362	253	423	449	438	
376	363	240	380	440	439	
402	364	238	416	440	445	
404	373	224	397	444	427	
391	415	237	384	456	411	
395	399	254	383	438	411	
369	365	206	418	446	419	
357	317	240	405	417	452	
386	360	216	408	442	444	
379	364	219	363	438	447	
390	348	210	402	461	402	
352	334	210	382	426	427	
360	361	233	392	454	423	
398	333	220	359	395	421	
392	352	221	388	422	422	
401	320	216	397	417	396	
383	350	226	360	389	452	
402	329	251	340	427	427	
367	329	227	408	414	390	
379	339	202	373	426	391	
378	333	221	360	425	368	
363	356	250	318	428	399	
352	324	216	351	430	399	
355	351	214	363	378	396	
353	333	203	373	435	394	
347	303	197	371	384	380	
352	335	205	387	403	377	
360	344	229	395	395	383	
336	338	215	376	397	354	
344	333	201	335	374	381	
359	346	203	370	399	375	
372	303	195	360	382	354	
346	311	209	361	416	345	
352	343	245	333	379	375	
348	302	219	334	417	396	
386	304	242	354	408	380	
340	287	198	371	376	364	
321	323	231	357	397	348	
338	293	207	386	382	354	
326	302	225	348	365	366	
314	351	232	355	369	332	
317	312	175	342	377	372	
358	329	208	314	374	344	
359	338	199	317	365	371	
350	348	190	349	395	369	
340	310	201	373	393	374	
352	333	225	380	354	344	
350	332	197	306	364	326	
330	321	191	334	348	386	
313	323	178	313	391	368	
280	289	194	333	374	349	
316	279	182	329	357	365	
300	258	199	329	348	349	
315	297	186	304	398	342	
288	312	217	318	381	360	
279	327	198	347	348	310	
321	292	198	306	386	349	
324	296	194	359	359	294	
340	292	190	306	356	322	
296	314	188	314	354	328	
314	281	204	314	350	333	
291	276	176	315	389	321	
305	282	187	304	354	330	
301	275	190	338	365	312	
312	291	188	318	383	321	
302	262	174	328	368	328	
266	272	177	305	321	334	
333	280	166	299	376	296	
284	289	168	334	351	342	
320	290	174	327	331	339	
313	266	185	329	318	315	
309	273	166	328	325	328	
303	261	161	291	311	300	
315	260	172	316	346	298	
318	286	154	299	332	342	
289	280	155	271	339	302	
298	287	169	273	358	320	
301	280	189	303	327	285	
277	276	167	323	309	302	
269	281	185	304	336	315	
299	280	174	323	301	318	
288	278	168	297	341	268	
290	260	174	305	328	310	
277	286	163	307	338	288	
311	269	170	286	330	313	
295	268	165	287	307	305	
294	258	179	278	321	292	
273	268	162	292	327	267	
291	247	160	266	347	297	
250	263	159	322	323	295	
312	283	166	285	333	294	
288	315	180	259	315	275	
274	241	172	300	311	296	
304	274	157	261	325	269	
286	268	159	265	281	289	
274	256	132	277	322	262	
244	248	174	277	290	289	
293	252	173	256	295	267	
288	269	168	277	311	297	
279	297	150	294	338	280	
272	283	171	270	309	244	
274	248	158	281	296	260	
262	239	169	296	295	230	
289	217	136	260	316	301	
239	231	149	300	282	290	
264	232	157	271	325	268	
249	256	155	273	279	251	
263	245	149	260	327	276	
246	261	172	299	323	282	
275	240	155	286	320	248	
265	241	147	257	300	264	
265	219	163	280	277	277	
261	238	122	282	343	261	
265	236	130	276	296	301	
251	255	152	266	273	258	
272	235	151	285	284	252	
272	244	121	273	308	242	
257	238	139	240	347	242	
253	241	135	259	290	299	
225	247	133	265	273	260	
278	241	158	264	290	286	
245	210	137	270	313	245	
239	245	135	244	261	243	
239	222	143	280	287	252	
250	211	149	247	280	254	
226	229	161	250	282	246	
232	221	134	276	282	260	
229	197	136	278	286	248	
251	217	161	256	294	265	
205	201	134	247	297	226	
244	200	131	246	282	245	
209	219	131	258	295	266	
250	228	126	214	259	249	
244	203	134	254	326	224	
240	225	136	243	302	284	
256	217	138	288	261	250	
223	218	124	232	285	233	
214	213	140	251	250	236	
221	221	145	268	261	267	
273	212	138	243	273	245	
234	206	134	250	259	239	
235	225	147	245	271	229	
236	215	131	264	253	233	
225	222	141	230	249	233	
201	208	147	230	262	242	
227	191	152	261	294	241	
211	213	142	203	264	224	
247	169	135	251	277	215	
198	208	129	238	267	219	
233	201	120	249	242	225	
232	195	116	218	262	222	
195	241	123	227	283	226	
214	195	113	244	247	215	
225	194	132	229	220	225	
222	223	114	244	243	209	
207	214	129	226	246	227	
221	194	123	250	228	225	
195	180	108	237	249	218	
217	193	118	238	246	212	
193	199	117	228	256	217	
234	200	139	225	226	219	
